date,connectedAt,disconnectedAt,spentTimeSeconds,connectionId,sessionId,path,browser,os,os_version,device_type,device_model,country,city,ip,user_agent
2026-01-09,,2026-01-09T08:04:27.930+00:00,5.754,W6F08cL3joEAcWg=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T08:04:35.194+00:00,,,W6F2sd3hjoECFcQ=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T08:04:38.623+00:00,3.429,W6F2sd3hjoECFcQ=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T08:05:29.320+00:00,,,W6F_devIjoECG_Q=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T08:05:31.817+00:00,2.497,W6F_devIjoECG_Q=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T08:21:12.379+00:00,,,W6ISpeS7DoECEqg=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T08:21:15.057+00:00,2.678,W6ISpeS7DoECEqg=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T08:21:16.123+00:00,,,W6ITWfmQjoECJZw=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T08:21:18.589+00:00,2.466,W6ITWfmQjoECJZw=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T08:21:35.507+00:00,,,W6IWSdBqDoECEtQ=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
